timestamp,elapsed_hours,outdoor_temperature_c,solar_radiation_w_m2,wind_m_s,raw_supply_target_c,applied_supply_setpoint_c,raw_pump_target_hz,applied_pump_frequency_hz,near_valve_pct,mid_valve_pct,far_valve_pct,total_flow_m3_h,near_flow_m3_h,mid_flow_m3_h,far_flow_m3_h,pump_pressure_kpa,pump_power_kw,delivered_supply_near_c,delivered_supply_mid_c,delivered_supply_far_c,return_near_c,return_mid_c,return_far_c,station_return_c,required_heat_load_mw,actual_heat_supply_mw,B01_indoor_c,B02_indoor_c,B03_indoor_c,B04_indoor_c,B05_indoor_c,B06_indoor_c,B07_indoor_c,B08_indoor_c,B09_indoor_c,B10_indoor_c,B11_indoor_c,B12_indoor_c,compliance_rate,comfort_rate,overheating_rate,severe_overheating_rate,underheating_rate,P10_c,P50_c,P90_c,near_transport_delay_min,mid_transport_delay_min,far_transport_delay_min,hydraulic_residual,heat_balance_residual,mass_residual,pipe_heat_balance_residual,building_heat_balance_residual,solver_status
2025-01-15T08:05:00+08:00,0.08333333333333333,-8.0,20.0,3.0,53.4,53.4,45.2,45.2,50.0,60.0,85.0,41.46146579980509,13.837928053712723,13.525166121548965,14.098371624543406,76.04269542092851,1.152354391637362,53.4,53.4,53.4,44.89450262568257,43.757169220475944,43.501024318213894,44.04966037047691,0.42884540000000004,0.4492378705624049,28.409350423461255,28.550247733902932,18.055623750326493,28.237255541797936,22.838489100070767,22.98053872239223,22.901134323907005,22.789285919137786,17.936326745611712,22.99394756247368,22.914697717721822,22.803010516359784,0.9166666666666666,0.0,0.25,0.25,0.08333333333333333,18.055623750326493,22.901134323907005,28.237255541797936,12.863197388299943,20.997893663392208,26.315095805400528,1.1371351798565668e-16,6.478489985783781e-16,0.0,1.295697997156756e-16,3.0401243334994736e-14,converged
2025-01-15T08:10:00+08:00,0.16666666666666666,-7.916666666666667,22.5,2.995833333333333,53.4,53.4,45.2,45.2,50.0,60.0,85.0,41.46146579980509,13.837928053712723,13.525166121548965,14.098371624543406,76.04269542092851,1.152354391637362,53.4,53.4,53.4,44.89438019812999,43.75676134598729,43.50053500576786,44.049320073231925,0.4264348666666667,0.4492542201727671,28.40968155831993,28.550456584385195,18.053135124579008,28.237919005330557,22.83731645386596,22.979230467751393,22.89998228100765,22.788325108756382,17.933836055243916,22.992654765418592,22.91355995765828,22.802062967542085,0.9166666666666666,0.0,0.25,0.25,0.08333333333333333,18.053135124579008,22.89998228100765,28.237919005330557,12.863197388299943,20.997893663392208,26.315095805400528,1.1371351798565668e-16,1.2956508431035512e-16,0.0,9.069555901724857e-16,3.159900714953965e-14,converged
2025-01-15T08:15:00+08:00,0.25,-7.833333333333333,25.0,2.9916666666666667,53.4,53.4,45.2,45.2,50.0,60.0,85.0,41.46146579980509,13.837928053712723,13.525166121548965,14.098371624543406,76.04269542092851,1.152354391637362,53.4,53.4,53.4,44.894341100290646,43.756447053668,43.50014352402848,44.04907138101219,0.42402433333333334,0.44926616861182334,28.410261122632914,28.55094061856601,18.051009273983727,28.238780215322688,22.836453544014184,22.97825560298173,22.89912395432153,22.787614859325263,17.931731722710268,22.991695300692054,22.912715863187376,22.801365934711313,0.9166666666666666,0.0,0.25,0.25,0.08333333333333333,18.051009273983727,22.89912395432153,28.238780215322688,12.863197388299943,20.997893663392208,26.315095805400528,1.1371351798565668e-16,0.0,0.0,7.773698308063817e-16,2.7681692424324504e-14,converged
2025-01-15T08:20:00+08:00,0.3333333333333333,-7.75,27.5,2.9875,53.4,53.4,45.2,45.2,50.0,60.0,85.0,41.46146579980509,13.837928053712723,13.525166121548965,14.098371624543406,76.04269542092851,1.152354391637362,53.4,53.4,53.4,44.89438503064498,43.756225986572005,43.499849479666636,44.048913942998944,0.4216138,0.4492737327346915,28.41108826115234,28.551698938872104,18.049244586440707,28.239838588117248,22.835899100667522,22.977612833059414,22.89855825987404,22.78715429009273,17.930011842617866,22.991067872754765,22.91216434990269,22.800918536771135,0.9166666666666666,0.0,0.25,0.25,0.08333333333333333,18.049244586440707,22.89855825987404,28.239838588117248,12.863197388299943,20.997893663392208,26.315095805400528,1.1371351798565668e-16,1.2955945712464039e-16,0.0,7.773567427478423e-16,3.123188307823516e-14,converged
2025-01-15T08:25:00+08:00,0.4166666666666667,-7.666666666666667,30.0,2.9833333333333334,53.4,53.4,45.2,45.2,50.0,60.0,85.0,41.46146579980509,13.837928053712723,13.525166121548965,14.098371624543406,76.04269542092851,1.152354391637362,53.4,53.4,53.4,44.89451168879243,43.75609778911921,43.49965248096388,44.048847409740134,0.4192032666666667,0.44927692933082536,28.41216212157464,28.552730650657843,18.047839457013854,28.24109354177984,22.835651859184143,22.97730086799104,22.898284117691023,22.786942523403038,17.928674518970592,22.99077119110271,22.911904337402145,22.800719895724153,0.9166666666666666,0.0,0.25,0.25,0.08333333333333333,18.047839457013854,22.898284117691023,28.24109354177984,12.863197388299943,20.997893663392208,26.315095805400528,1.1371351798565668e-16,1.2955853531176128e-16,0.0,9.069097471823289e-16,2.9419850793625654e-14,converged
2025-01-15T08:30:00+08:00,0.5,-7.583333333333333,32.5,2.9791666666666665,53.4,53.4,45.2,45.2,50.0,60.0,85.0,41.46146579980509,13.837928053712723,13.525166121548965,14.098371624543406,76.04269542092851,1.152354391637362,53.4,53.4,53.4,44.89472077544707,43.756062107090244,43.49955213780565,44.04887143314502,0.41679273333333333,0.44927577512427463,28.413481854530392,28.554034862195675,18.046792287899084,28.242544496093675,22.835710560106953,22.97731842279406,22.898300451784035,22.786978684685504,17.92771786512278,22.990803970247583,22.911934749273218,22.80076913666099,0.9166666666666666,0.0,0.25,0.25,0.08333333333333333,18.046792287899084,22.898300451784035,28.242544496093675,12.863197388299943,20.997893663392208,26.315095805400528,1.1371351798565668e-16,6.477943407628258e-16,0.0,1.2955886815256515e-15,2.474371210511045e-14,converged
2025-01-15T08:35:00+08:00,0.5833333333333334,-7.5,35.0,2.975,53.0,53.0,45.0,45.0,50.0,60.0,85.0,41.27800798653162,13.77669828356355,13.4653202537545,14.035989449213567,75.37124002828149,1.137125236784428,53.4,53.4,53.4,44.863826603701966,43.72090215858297,43.46334495212114,44.014779106637356,0.41438220000000003,0.4489185503223949,28.415008947587108,28.5555751986225,18.046053546557214,28.24415835859959,22.83602716819634,22.977620099244422,22.89856416484092,22.787221728729392,17.927086011573266,22.991121057737182,22.91221272252603,22.80102543857142,0.9166666666666666,0.0,0.25,0.25,0.08333333333333333,18.046053546557214,22.89856416484092,28.24415835859959,12.920367154470167,21.091217635229505,26.432051786757867,1.7208982650771557e-16,6.483098200293243e-16,0.0,3.727781465168615e-16,2.7187146923257448e-14,converged
2025-01-15T08:40:00+08:00,0.6666666666666666,-7.416666666666667,37.5,2.970833333333333,53.0,53.0,45.0,45.0,50.0,60.0,85.0,41.27800798653162,13.77669828356355,13.4653202537545,14.035989449213567,75.37124002828149,1.137125236784428,53.4,53.4,53.4,44.86418913541636,43.72103730270946,43.463423152668135,44.01497077942947,0.4119716666666667,0.4489093821341393,28.41678035535663,28.557386378201898,18.045669803471842,28.245967164633992,22.836647407755432,22.978248912604325,22.89911636975407,22.787711102512105,17.92683134799679,22.991765221224107,22.91277913413235,22.80152802286947,0.9166666666666666,0.0,0.25,0.25,0.08333333333333333,18.045669803471842,22.89911636975407,28.245967164633992,12.920367154470167,21.091217635229505,26.432051786757867,1.7208982650771557e-16,6.483230606224474e-16,0.0,5.024503719823967e-16,2.5706515076184492e-14,converged
2025-01-15T08:45:00+08:00,0.75,-7.333333333333333,40.0,2.966666666666667,53.0,53.0,45.0,45.0,50.0,60.0,85.0,41.27800798653162,13.77669828356355,13.4653202537545,14.035989449213567,75.37124002828149,1.137125236784428,53.23362937235761,53.4,53.4,44.750107281985606,43.72126429402963,43.463597253111345,43.9770287573229,0.4095611333333333,0.4480682556950114,28.41847153763457,28.559160843662305,18.045348212925237,28.24769285394984,22.83757003442872,22.979203592612517,22.899956002226375,22.788445940477857,17.926952014786096,22.992735189956072,22.913632919382803,22.80227602366989,0.9166666666666666,0.0,0.25,0.25,0.08333333333333333,18.045348212925237,22.899956002226375,28.24769285394984,12.920367154470167,21.091217635229505,26.432051786757867,1.7208982650771557e-16,1.299080222123298e-15,0.0,4.059625694135306e-16,4.86119996756894e-14,converged
2025-01-15T08:50:00+08:00,0.8333333333333334,-7.25,42.5,2.9625,53.0,53.0,45.0,45.0,50.0,60.0,85.0,41.27800798653162,13.77669828356355,13.4653202537545,14.035989449213567,75.37124002828149,1.137125236784428,53.0,53.4,53.4,44.58964824956034,43.72158278237161,43.46386686818901,43.923670494118745,0.4071506,0.44689078879967287,28.419952691051456,28.56077543790949,18.044971656947883,28.249224067907782,22.83879380896035,22.980482873940126,22.901082001887115,22.789425380112256,17.927446161502093,22.994029698117895,22.914773017498163,22.803268578131725,0.9166666666666666,0.0,0.25,0.25,0.08333333333333333,18.044971656947883,22.901082001887115,28.249224067907782,12.920367154470167,21.091217635229505,26.432051786757867,1.7208982650771557e-16,2.605006071832914e-16,0.0,4.0296187673665387e-16,3.277143381034177e-14,converged
