timestamp,elapsed_hours,outdoor_temperature_c,solar_radiation_w_m2,secondary_supply_setpoint_c,delivered_supply_near_c,delivered_supply_mid_c,delivered_supply_far_c,total_flow_m3_h,near_flow_m3_h,mid_flow_m3_h,far_flow_m3_h,near_valve_pct,mid_valve_pct,far_valve_pct,pump_frequency_hz,pump_head_kpa,pump_power_kw,required_heat_load_mw,actual_heat_supply_mw,B01_indoor_c,B02_indoor_c,B03_indoor_c,B04_indoor_c,B05_indoor_c,B06_indoor_c,B07_indoor_c,B08_indoor_c,B09_indoor_c,B10_indoor_c,B11_indoor_c,B12_indoor_c,near_return_c,mid_return_c,far_return_c,station_return_c,near_transport_delay_min,mid_transport_delay_min,far_transport_delay_min,hydraulic_residual,heat_balance_residual,solver_status,source_heat_mw,pipe_storage_power_kw,pipe_energy_residual,building_energy_residual,mass_residual,heat_energy_j,pump_energy_j
2025-01-15T08:05:00+08:00,0.08333333333333333,-7.916666666666667,53.541666666666664,50,50.0,50.0,50.0,41.190890913986806,16.02911208256932,13.501586734343975,11.660192097073516,60.0,60.0,60.0,45,75.58825998662742,1.1379926065377353,0.41348490416666667,0.44987911412997983,20.025631316846724,20.025128529237616,19.985774284510292,20.02166968924761,20.0054076958057,20.0059673856566,20.005188582172465,20.004331112710023,19.980190752374504,20.004064658318264,20.00338079481308,20.002609236828942,41.7628914861197,40.51048433663454,39.01603805203894,40.57480544637938,11.104794768611303,21.034564721018263,31.817657626165,1.7208982650771557e-16,2.5877022998071415e-16,converged,0.44987911412997994,0.0,2.5877022998071405e-16,3.0907735453681355e-14,0.0,134963734.23899394,341397.7819613206
2025-01-15T08:10:00+08:00,0.16666666666666666,-7.75,60.625,50,50.0,50.0,50.0,41.190890913986806,16.02911208256932,13.501586734343975,11.660192097073516,60.0,60.0,60.0,45,75.58825998662742,1.1379926065377353,0.40779471250000005,0.4497771914032144,20.05177629998994,20.05085705394118,19.972421816364943,20.0437512110372,20.011507035298777,20.012699534513782,20.01104300150869,20.009218615463652,19.961329905565506,20.00890175207679,20.007434321575747,20.005781081345518,41.767181058612536,40.51223471169179,39.015657730038555,40.5769407789588,11.104794768611303,21.034564721018263,31.817657626165,1.7208982650771557e-16,6.47072172911561e-16,converged,0.4497771914032141,0.0,6.47072172911561e-16,2.672841156682745e-14,0.0,269896891.65995824,682795.5639226412
2025-01-15T08:15:00+08:00,0.25,-7.583333333333333,67.70833333333333,50,50.0,50.0,50.0,41.190890913986806,16.02911208256932,13.501586734343975,11.660192097073516,60.0,60.0,60.0,45,75.58825998662742,1.1379926065377353,0.4021045208333333,0.44966539683003753,20.078433156888977,20.077183590325017,19.95993867806376,20.066243333199992,20.01829518331421,20.02019347635082,20.017560801062718,20.014660552769868,19.94341284846028,20.014508330157813,20.01215813836738,20.00951358844302,41.771632356010954,40.51419554998901,39.01554200166928,40.57928293170414,11.104794768611303,21.034564721018263,31.817657626165,1.7208982650771557e-16,6.472330462140105e-16,converged,0.44966539683003726,0.0,6.472330462140105e-16,2.806591369117655e-14,0.0,404796510.7089695,1024193.3458839618
2025-01-15T08:20:00+08:00,0.3333333333333333,-7.416666666666667,74.79166666666667,50,50.0,50.0,50.0,41.190890913986806,16.02911208256932,13.501586734343975,11.660192097073516,60.0,60.0,60.0,45,75.58825998662742,1.1379926065377353,0.3964143291666667,0.4495437682777966,20.1056001012586,20.104106161162516,19.948320969680974,20.089144827253744,20.025769316308793,20.02844625248285,20.024739532954754,20.020654976010427,19.92643499236528,20.020881452718424,20.017549812131175,20.013804819739565,41.776244780547955,40.51636604878529,39.015689815624874,40.58183111127536,11.104794768611303,21.034564721018263,31.817657626165,1.7208982650771557e-16,3.884448969438134e-16,converged,0.4495437682777964,0.0,3.884448969438134e-16,2.824029149771456e-14,0.0,539659641.1923084,1365591.1278452824
2025-01-15T08:25:00+08:00,0.4166666666666667,-7.25,81.875,50,50.0,50.0,50.0,41.190890913986806,16.02911208256932,13.501586734343975,11.660192097073516,60.0,60.0,60.0,45,75.58825998662742,1.1379926065377353,0.3907241375,0.44941234346616915,20.13327535304716,20.131622795764432,19.937564808786373,20.112454468391736,20.033926622313512,20.037454915716093,20.032576758337697,20.02719994341571,19.91039177089712,20.02801819114749,20.023606918641985,20.018652843554854,41.78101773672225,40.51874540841143,39.01610012485665,40.58458452742618,11.104794768611303,21.034564721018263,31.817657626165,1.7208982650771557e-16,2.5903899507757584e-16,converged,0.44941234346616904,0.0,2.5903899507757584e-16,2.6986462229996045e-14,0.0,674483344.2321591,1706988.909806603
2025-01-15T08:30:00+08:00,0.5,-7.083333333333333,88.95833333333333,50,50.0,50.0,50.0,41.190890913986806,16.02911208256932,13.501586734343975,11.660192097073516,60.0,60.0,60.0,45,75.58825998662742,1.1379926065377353,0.3850339458333333,0.4492711599677487,20.16145713841486,20.159731529957288,19.927666330366833,20.13617103547177,20.04276430088609,20.047216530303196,20.041070047363824,20.03429352004065,19.895278639874125,20.035915628022735,20.030327042474244,20.024055734886993,41.78595063128946,40.5213328322582,39.01677188655587,40.5875423929918,11.104794768611303,21.034564721018263,31.817657626165,1.7208982650771557e-16,9.069213933596834e-16,converged,0.44927115996774825,0.0,9.069213933596834e-16,2.6206710563005962e-14,0.0,809264692.2224838,2048386.6917679238
2025-01-15T08:35:00+08:00,0.5833333333333334,-6.916666666666667,96.04166666666666,50,50.0,50.0,50.0,41.190890913986806,16.02911208256932,13.501586734343975,11.660192097073516,60.0,60.0,60.0,45,75.58825998662742,1.1379926065377353,0.3793437541666667,0.44912025520862775,20.19014368971207,20.18843040606181,19.918621686748175,20.1602933110052,20.052279563063742,20.0577281718988,20.05021697915157,20.04193377774074,19.88109107720836,20.044570857068017,20.037707776970038,20.030011575389405,41.791042873253346,40.52412752676459,39.01770406213624,40.59070392387667,11.104794768611303,21.034564721018263,31.817657626165,1.7208982650771557e-16,1.2960373138020346e-16,converged,0.4491202552086277,0.0,1.2960373138020346e-16,2.8248130873648198e-14,0.0,944000768.7850721,2389784.4737292444
2025-01-15T08:40:00+08:00,0.6666666666666666,-6.75,103.125,50,50.0,50.0,50.0,41.190890913986806,16.02911208256932,13.501586734343975,11.660192097073516,60.0,60.0,60.0,45,75.58825998662742,1.1379926065377353,0.3736535625,0.4489596664689793,20.219333245457715,20.21771747287147,19.910427047517384,20.18482008114601,20.062469631316105,20.068986927515237,20.06001514175245,20.050118795148155,19.86782458279823,20.053980983110712,20.045746724207277,20.03651845334783,41.79629387385712,40.527128701406056,39.01889561721643,40.594068339042366,11.104794768611303,21.034564721018263,31.817657626165,1.7208982650771557e-16,6.482504472090396e-16,converged,0.448959666468979,0.0,6.482504472090396e-16,2.7209256103933377e-14,0.0,1078688668.725766,2731182.255690565
2025-01-15T08:45:00+08:00,0.75,-6.583333333333333,110.20833333333334,50,50.0,50.0,50.0,41.190890913986806,16.02911208256932,13.501586734343975,11.660192097073516,60.0,60.0,60.0,45,75.58825998662742,1.1379926065377353,0.3679633708333333,0.44878943088363504,20.24902405031777,20.24759078563109,19.903078599445173,20.209750135679904,20.073331739498396,20.080989895478435,20.070462132118095,20.058846657647905,19.855474678421583,20.06414312203932,20.054441494967985,20.04357446365739,41.80170304657466,40.530335568682936,39.020345521602735,40.5976348604954,11.104794768611303,21.034564721018263,31.817657626165,1.7208982650771557e-16,1.2969926853861195e-16,converged,0.44878943088363515,0.0,1.2969926853861193e-16,2.4443171652487228e-14,0.0,1213325497.9908564,3072580.0376518853
2025-01-15T08:50:00+08:00,0.8333333333333334,-6.416666666666667,117.29166666666666,50,50.0,50.0,50.0,41.190890913986806,16.02911208256932,13.501586734343975,11.660192097073516,60.0,60.0,60.0,45,75.58825998662742,1.1379926065377353,0.3622731791666667,0.44860958544266244,20.279214355083795,20.278048406015493,19.896572546408894,20.235082268013453,20.084863132804724,20.09373418538397,20.081555556067404,20.068115457354118,19.844036907629317,20.075054400761186,20.063789708706707,20.051177707799724,41.80726980710191,40.53374734410878,39.022052749271765,40.6014027132752,11.104794768611303,21.034564721018263,31.817657626165,1.7208982650771557e-16,0.0,converged,0.44860958544266244,0.0,0.0,2.9815312498375345e-14,0.0,1347908373.623655,3413977.8196132057
