timestamp,elapsed_hours,outdoor_temperature_c,solar_radiation_w_m2,wind_m_s,raw_supply_target_c,applied_supply_setpoint_c,raw_pump_target_hz,applied_pump_frequency_hz,near_valve_pct,mid_valve_pct,far_valve_pct,total_flow_m3_h,near_flow_m3_h,mid_flow_m3_h,far_flow_m3_h,pump_pressure_kpa,pump_power_kw,delivered_supply_near_c,delivered_supply_mid_c,delivered_supply_far_c,return_near_c,return_mid_c,return_far_c,station_return_c,required_heat_load_mw,actual_heat_supply_mw,B01_indoor_c,B02_indoor_c,B03_indoor_c,B04_indoor_c,B05_indoor_c,B06_indoor_c,B07_indoor_c,B08_indoor_c,B09_indoor_c,B10_indoor_c,B11_indoor_c,B12_indoor_c,compliance_rate,comfort_rate,overheating_rate,severe_overheating_rate,underheating_rate,P10_c,P50_c,P90_c,near_transport_delay_min,mid_transport_delay_min,far_transport_delay_min,hydraulic_residual,heat_balance_residual,mass_residual,pipe_heat_balance_residual,building_heat_balance_residual,solver_status
2025-01-15T08:05:00+08:00,0.08333333333333333,-8.0,20.0,3.0,53.4,53.4,45.2,45.2,50.0,60.0,85.0,40.179488582936905,14.366699519953656,14.041986406600586,11.77080265638266,79.20420561613986,1.163152220494985,53.4,53.4,53.4,45.15475965739903,44.0510643737923,41.94774996468063,43.829527449188646,0.42884540000000004,0.4455968467417936,28.409663953116013,28.55054311335746,18.05602261709097,28.237526201068306,22.83887842104261,22.980905877252003,22.901484066753426,22.78962025991052,17.933980622538456,22.99204087715787,22.912881465821926,22.801274258275324,0.9166666666666666,0.0,0.25,0.25,0.08333333333333333,18.05602261709097,22.901484066753426,28.237526201068306,12.389762850735407,20.22505874713728,31.51866621422177,0.0,1.175656766989576e-15,1.11502645631746e-16,3.9188558899652534e-16,2.8011031828575813e-14,converged
2025-01-15T08:10:00+08:00,0.16666666666666666,-7.916666666666667,22.5,2.995833333333333,53.4,53.4,45.2,45.2,50.0,60.0,85.0,40.179488582936905,14.366699519953656,14.041986406600586,11.77080265638266,79.20420561613986,1.163152220494985,53.4,53.4,53.4,45.15473652700208,44.05077897906386,41.946485592117575,43.829049033535235,0.4264348666666667,0.44561912155690436,28.410307531747293,28.551046375499197,18.053931111271513,28.238459516031195,22.838093511650523,22.979963364674965,22.900680486852945,22.78899262327474,17.929155046988857,22.988848594483805,22.90993397608651,22.79859639876214,0.9166666666666666,0.0,0.25,0.25,0.08333333333333333,18.053931111271513,22.900680486852945,28.238459516031195,12.389762850735407,20.22505874713728,31.51866621422177,0.0,1.0449760003134775e-15,1.11502645631746e-16,2.612440000783694e-16,2.5259330414275607e-14,converged
2025-01-15T08:15:00+08:00,0.25,-7.833333333333333,25.0,2.9916666666666667,53.4,53.4,45.2,45.2,50.0,60.0,85.0,40.179488582936905,14.366699519953656,14.041986406600586,11.77080265638266,79.20420561613986,1.163152220494985,53.4,53.4,53.4,45.15479383422842,44.050583898532864,41.94533712054822,43.828664896374534,0.42402433333333334,0.4456370068082977,28.411198454580465,28.551823853436247,18.052200637446806,28.23958976987639,22.837616757013258,22.979352830646153,22.90016934468167,22.788614381935506,17.924727038108855,22.98599683724687,22.90728666800406,22.796174996285163,0.9166666666666666,0.0,0.25,0.25,0.08333333333333333,18.052200637446806,22.90016934468167,28.23958976987639,12.389762850735407,20.22505874713728,31.51866621422177,0.0,1.044934061115924e-15,1.11502645631746e-16,2.61233515278981e-16,3.211857615551426e-14,converged
2025-01-15T08:20:00+08:00,0.3333333333333333,-7.75,27.5,2.9875,53.4,53.4,45.2,45.2,50.0,60.0,85.0,40.179488582936905,14.366699519953656,14.041986406600586,11.77080265638266,79.20420561613986,1.163152220494985,53.4,53.4,53.4,45.15493128710512,44.05047878665294,41.944304090938054,43.828374678069075,0.4216138,0.4456505192405305,28.41233586700598,28.55287464949819,18.05082958719775,28.240916379215207,22.83744688984949,22.979072981624697,22.899949557635917,22.788484656519294,17.920694661464562,22.98348430326331,22.90493845095814,22.79400916338023,0.9166666666666666,0.0,0.25,0.25,0.08333333333333333,18.05082958719775,22.899949557635917,28.240916379215207,12.389762850735407,20.22505874713728,31.51866621422177,0.0,9.14289580742881e-16,1.11502645631746e-16,1.30612797248983e-16,2.2740375542433842e-14,converged
2025-01-15T08:25:00+08:00,0.4166666666666667,-7.666666666666667,30.0,2.9833333333333334,53.4,53.4,45.2,45.2,50.0,60.0,85.0,40.179488582936905,14.366699519953656,14.041986406600586,11.77080265638266,79.20420561613986,1.163152220494985,53.4,53.4,53.4,45.15514859474603,44.05046329920415,41.94338604610499,43.82817802037622,0.4192032666666667,0.4456596755332171,28.41371891736708,28.554197868953214,18.049816359270846,28.24243876238713,22.837582648089562,22.979122529109958,22.900020047119792,22.78860257075327,17.917055992034435,22.98130969532898,22.902888238294747,22.79209801565423,0.9166666666666666,0.0,0.25,0.25,0.08333333333333333,18.049816359270846,22.900020047119792,28.24243876238713,12.389762850735407,20.22505874713728,31.51866621422177,0.0,1.1754910237153827e-15,1.11502645631746e-16,3.918303412384609e-16,3.018465135880271e-14,converged
2025-01-15T08:30:00+08:00,0.5,-7.583333333333333,32.5,2.9791666666666665,53.4,53.4,45.2,45.2,50.0,60.0,85.0,40.179488582936905,14.366699519953656,14.041986406600586,11.77080265638266,79.20420561613986,1.163152220494985,53.4,53.4,53.4,45.15544546734757,44.05053709328784,41.942582530711746,43.82807456644264,0.41679273333333333,0.4456644923012858,28.41534675694961,28.55579261999849,18.049159359546277,28.244156339454687,22.838022774854064,22.979500189621888,22.900379738530365,22.788967251454356,17.91380911416347,22.979471721200298,22.901134947307874,22.79044067177447,0.9166666666666666,0.0,0.25,0.25,0.08333333333333333,18.049159359546277,22.900379738530365,28.244156339454687,12.389762850735407,20.22505874713728,31.51866621422177,0.0,5.224348084174214e-16,1.11502645631746e-16,2.6121740420871064e-16,2.660173255537751e-14,converged
2025-01-15T08:35:00+08:00,0.5833333333333334,-7.5,35.0,2.975,53.0,53.0,45.0,45.0,50.0,60.0,85.0,40.001703235224795,14.303130053051206,13.979853723385538,11.718719458788046,78.50483415531914,1.1477803649165261,53.4,53.399999999999984,53.4,45.125371557851025,44.01630404384383,41.90163600970336,43.793361923163154,0.41438220000000003,0.4453015790466395,28.417181940585383,28.557623532420422,18.048810416338434,28.24603693856271,22.83872055418557,22.98016180800589,22.90098671843792,22.78953878504852,17.91089045836714,22.977918989597914,22.899629773345865,22.788990631363323,0.9166666666666666,0.0,0.25,0.25,0.08333333333333333,18.048810416338434,22.899629773345865,28.24603693856271,12.444828463405344,20.314947897124558,31.658749175173867,1.147265510051437e-16,3.921454379619722e-16,0.0,1.4378666058605647e-15,3.139825459742185e-14,converged
2025-01-15T08:40:00+08:00,0.6666666666666666,-7.416666666666667,37.5,2.970833333333333,53.0,53.0,45.0,45.0,50.0,60.0,85.0,40.001703235224795,14.303130053051206,13.979853723385538,11.718719458788046,78.50483415531914,1.1477803649165261,53.4,53.399999999999984,53.4,45.12581717956063,44.01654340357121,41.90103975715361,43.793430237326426,0.4119716666666667,0.4452984124440745,28.419260354124308,28.55972431718208,18.048814741678104,28.248111672913428,22.83972039200209,22.981149155669673,22.901880915191445,22.790355486523065,17.908360086037415,22.976700511437897,22.89841953870796,22.787792797173275,0.9166666666666666,0.0,0.25,0.25,0.08333333333333333,18.048814741678104,22.89841953870796,28.248111672913428,12.444828463405344,20.314947897124558,31.658749175173867,1.147265510051437e-16,5.228643021113647e-16,0.0,5.57177271937423e-15,2.9171545408730636e-14,converged
2025-01-15T08:45:00+08:00,0.75,-7.333333333333333,40.0,2.966666666666667,53.0,53.0,45.0,45.0,50.0,60.0,85.0,40.001703235224795,14.303130053051206,13.979853723385538,11.718719458788046,78.50483415531914,1.1477803649165261,53.19558627707242,53.399999999999984,53.4,44.98367485878948,44.01687139833064,41.900557148326136,43.74257864416377,0.4095611333333333,0.44426754721453304,28.421180930409175,28.561714911035637,18.048810650157016,28.250036872537123,22.841021046541528,22.9824609638806,22.90306126589886,22.79141649172259,17.906216108582566,22.97581500907033,22.89750317228478,22.78684629682526,0.9166666666666666,0.0,0.25,0.25,0.08333333333333333,18.048810650157016,22.89750317228478,28.250036872537123,12.444828463405344,20.314947897124558,31.658749175173867,1.147265510051437e-16,6.55096926147516e-16,0.0,6.428138587822501e-16,4.181740655738846e-14,converged
2025-01-15T08:50:00+08:00,0.8333333333333334,-7.25,42.5,2.9625,53.0,53.0,45.0,45.0,50.0,60.0,85.0,40.001703235224795,14.303130053051206,13.979853723385538,11.718719458788046,78.50483415531914,1.1477803649165261,53.0,53.399999999999984,53.4,44.84760655196979,44.01728768914805,41.90018773350804,43.69396291245384,0.4071506,0.443279350723815,28.422962159911393,28.563612643222967,18.048814498572632,28.25182828288827,22.842621281146677,22.984095968847825,22.904526711601484,22.79272093953762,17.904456646596895,22.975261209728988,22.89687960685681,22.786150260957765,0.9166666666666666,0.0,0.25,0.25,0.08333333333333333,18.048814498572632,22.89687960685681,28.25182828288827,12.444828463405344,20.314947897124558,31.658749175173867,1.147265510051437e-16,6.565573246128225e-16,0.0,3.5823409024187126e-15,3.08329162691741e-14,converged
